"Region","Year","species","catch"
"SSE",1886,"Chinook",0
"SSE",1887,"Chinook",0
"SSE",1888,"Chinook",0
"SSE",1889,"Chinook",0
"SSE",1890,"Chinook",0
"SSE",1891,"Chinook",0
"SSE",1892,"Chinook",0
"SSE",1893,"Chinook",0
"SSE",1894,"Chinook",0
"SSE",1895,"Chinook",3000
"SSE",1896,"Chinook",4000
"SSE",1897,"Chinook",5000
"SSE",1898,"Chinook",9000
"SSE",1899,"Chinook",12000
"SSE",1900,"Chinook",0
"SSE",1901,"Chinook",3000
"SSE",1902,"Chinook",4000
"SSE",1903,"Chinook",0
"SSE",1904,"Chinook",4000
"SSE",1905,"Chinook",9000
"SSE",1906,"Chinook",3000
"SSE",1907,"Chinook",17000
"SSE",1908,"Chinook",43000
"SSE",1909,"Chinook",34000
"SSE",1910,"Chinook",66000
"SSE",1911,"Chinook",80000
"SSE",1912,"Chinook",152000
"SSE",1913,"Chinook",191000
"SSE",1914,"Chinook",133000
"SSE",1915,"Chinook",119000
"SSE",1916,"Chinook",39000
"SSE",1917,"Chinook",115000
"SSE",1918,"Chinook",122000
"SSE",1919,"Chinook",121000
"SSE",1920,"Chinook",81000
"SSE",1921,"Chinook",54000
"SSE",1922,"Chinook",79000
"SSE",1923,"Chinook",140000
"SSE",1924,"Chinook",49000
"SSE",1925,"Chinook",106000
"SSE",1926,"Chinook",63000
"SSE",1927,"Chinook",69000
"SSE",1928,"Chinook",145000
"SSE",1929,"Chinook",76000
"SSE",1930,"Chinook",220000
"SSE",1931,"Chinook",297000
"SSE",1932,"Chinook",315000
"SSE",1933,"Chinook",341000
"SSE",1934,"Chinook",2e+05
"SSE",1935,"Chinook",36000
"SSE",1936,"Chinook",399000
"SSE",1937,"Chinook",609000
"SSE",1938,"Chinook",485000
"SSE",1939,"Chinook",152000
"SSE",1940,"Chinook",57000
"SSE",1941,"Chinook",93000
"SSE",1942,"Chinook",378000
"SSE",1943,"Chinook",146000
"SSE",1944,"Chinook",152000
"SSE",1945,"Chinook",257000
"SSE",1946,"Chinook",298000
"SSE",1947,"Chinook",319000
"SSE",1948,"Chinook",266000
"SSE",1949,"Chinook",257000
"SSE",1950,"Chinook",187000
"SSE",1951,"Chinook",211000
"SSE",1952,"Chinook",263000
"SSE",1953,"Chinook",204000
"SSE",1954,"Chinook",169000
